,0
1236,flasher
1237,leonard cohen
1238,tinashe
1239,papa m
1240,yaroze dream suite
1241,thee oh sees
1242,lorenzo senni
1243,marching church
1244,devonwho
1245,a tribe called quest
1246,sad13
1247,j.g. biberkopf
1248,animals as leaders
1249,washington phillips
1250,dedekind cut
1251,mantra percussion
1252,hart valley drifters
1253,emeli sand
1254,ken thomson
1255,philip glass
1256,bibi bourelly
1257,loscil
1258,peter stampfel
1259,"okkyung lee, christian marclay"
1260,minutemen
1261,the men
1262,oren ambarchi
1263,jacuzzi boys
1264,hudson mohawke
1265,rachel's
1266,helmet
1267,alicia keys
1268,topaz jones
1269,gaika
1270,tyvek
1271,tim buckley
1272,mary halvorson
1273,shirley collins
1274,kadhja bonet
1275,soft hair
1276,lou barlow
1277,mannequin pussy
1278,abba
1279,fugees
1280,"sun ra, merzbow"
1281,oddcouple
1282,the dean ween group
1283,ricky eat acid
1284,rich the kid
1285,carla dal forno
1286,pussy riot
1287,huerco s.
1288,otis redding
1289,the olympians
1290,miles davis quintet
1291,kassem mosse
1292,the dillinger escape plan
1293,public image ltd
1294,american wrestlers
1295,steve hauschildt
1296,lambchop
1297,roman flgel
1298,dj rude one
1299,syrinx
1300,khemmis
1301,joe budden
1302,roy montgomery
1303,"patrick cowley, candida royalle"
1304,dram
1305,the radio dept.
1306,luis
1307,donny mccaslin
1308,david crosby
1309,jojo
1310,n.m.o.
1311,american football
1312,jubilee
1313,crying
1314,lady gaga
1315,tanya tagaq
1316,oval
1317,jonathan finlayson & sicilian defense
1318,male bonding
1319,savoy motel
1320,oozing wound
1321,from indian lakes
1322,jimmy eat world
1323,meshuggah
1324,axis: sova
1325,moby & the void pacific choir
1326,kag
1327,gods wisdom
1328,kings of leon
1329,katie gately
1330,jagwar ma
1331,matt kivel
1332,weyes blood
1333,boogie
1334,powell
1335,wife
1336,regina spektor
1337,darkthrone
1338,mark ernestus' ndagga rhythm force
1339,jamie lidell
1340,terry allen
1341,mono
1342,wadada leo smith
1343,warehouse
1344,the orb
1345,lizzo
1346,marie davidson
1347,purling hiss
1348,johnny jewel
