,0
911,The Good Life
912,Fka Twigs
913,"Berner, The Jacka"
914,Dave Cloud & The Gospel Of Power
915,Stern
916,Guilty Simpson
917,"Aphex Twin, Afx"
918,Mark Lanegan
919,Tink
920,Aye Nako
921,Pavement
922,Blondes
923,Gangrene
924,Dej Loaf
925,Dr. Dre
926,Team Sleep
927,Lizzy Mercier Descloux
928,"Lil B, Chance The Rapper"
929,Donnacha Costello
930,Joe Plummer
931,"Robyn, La Bagatelle Magique"
932,Slim Twig
933,Warren G
934,Trae Tha Truth
935,La Luz
936,Pearl Charles
937,Health
938,The Coneheads
939,Florian Kupfer
940,Mark Barrott
941,Jessy Lanza
942,Teenage Time Killers
943,R. Andrew Lee
944,William Basinski
945,Julio Bashmore
946,Dj Roc
947,Illfightyou
948,Ms Mr
949,Mario Diaz De Leon
950,Cfcf
951,"Kool Keith, L'Orange"
952,Sly And The Family Stone
953,Fox Millions Duo
954,Ducktails
955,Wavves X Cloud Nothings
956,Ty Money
957,Years & Years
958,"Ben Bridwell, Iron & Wine"
959,The Chemical Brothers
960,Nadastrom
961,The Alchemist
962,Chester Watson
963,Karin Krog
964,Envy
965,Peacers
966,The Internet
967,Lil Wayne
968,Beatking
969,The Tough Alliance
970,Lee Bannon
971,Ghostface Killah & Adrian Younge
972,Matrixxman
973,Four Tet
974,Class Actress
975,Lucki Eck$
976,Kronos Quartet
977,London Oconnor
978,Vince Staples
979,Everything Everything
980,Blawan
981,Main Attrakionz
982,Dave Douglas
983,Smokey
984,Bomba Estreo
985,The National
986,"S. Araw ""Trio"" Xi"
987,Meg Baird
988,Nils Frahm
989,Robert Glasper Trio
990,Todd Terje
991,Giorgio Moroder
992,Klsch
993,Fucked Up
994,Namie Amuro
995,Princess Chelsea
996,Dj Koze
997,Mates Of State
998,Ffs
999,Bruce Brubaker
1000,Pins
1001,Sharon Van Etten
1002,Institute
1003,Faith No More
1004,Insect Ark
1005,Sightings
1006,Nicolay
1007,Stellar Om Source
1008,In Camera
1009,Amir Alexander
1010,Florence And The Machine
1011,Soak
1012,Kosmo Kat
1013,Strategy
1014,The Vaccines
1015,A$Ap Rocky
1016,Gucci Mane
1017,Smurphy
1018,Shilpa Ray
1019,Cecil Taylor
1020,Loren Connors
1021,Bankroll Fresh
1022,Prefuse 73
1023,Coliseum
1024,"David Kauffman, Eric Caboor"
1025,Beatriz Ferreyra
1026,Michael Angelo
1027,Ciara
1028,Red House Painters
1029,Jazz Cartier
1030,Todd Rundgren/Emil Nikolaisen/Hans-Peter Lindstrm
1031,Loke Rahbek & Puce Mary
1032,Towkio
1033,Slug
1034,Hagerty-Toth Band
1035,Jackson Scott
1036,Mg
1037,Looper
1038,Sasha Go Hard
1039,"Colin Stetson, Sarah Neufeld"
1040,"Jeremiah Jae, L'Orange"
1041,The Very Best
1042,Death
1043,Tei Shi
1044,Girl Band
1045,Kmd
1046,Low Jack
1047,Tori Amos
1048,M.C. Schmidt
1049,Sonic Youth
1050,"Rome Fortune, Ceej"
1051,Obnox
1052,Curren$Y
1053,Royal Thunder
1054,Say Lou Lou
1055,Gabi
1056,T-Pain
1057,Disasterpeace
1058,Benot Pioulard
1059,Tufthunter
1060,Madeon
1061,Fllakzoid
1062,The Prodigy
1063,Clark
1064,Ratking
1065,The Jon Spencer Blues Explosion
1066,Earl Sweatshirt
1067,The Silence
1068,Andy Kim
1069,Tinashe
1070,Maxo Kream
1071,Flicia Atkinson
1072,Glen Hansard
1073,Rahel
1074,Cana
1075,Pyramids
1076,"Popol Vuh, Florian Fricke"
1077,White Gzus
1078,Lotic
1079,Mo Kolours
1080,Ranger
1081,Lieutenant
1082,Sarah Bethe Nelson
1083,Jon Hopkins
1084,Black Cilice
1085,Og Maco
1086,Swervedriver
1087,"Oren Ambarchi, Jim Orourke"
1088,David Borden
1089,Thin Lizzy
1090,Pile
